"Resource Name","Resource Type",Environment,SUBSCRIPTION,"域名和证书",resourceId,"properties_hostname"
"AGW-DAP-PRD-N3-01",APPLICATIONGATEWAYS,Production,"88E39F7D-09DC-4B59-9491-B1CBF00279FB","purview.novonordiskchina.com.cn","/SUBSCRIPTIONS/88E39F7D-09DC-4B59-9491-B1CBF00279FB/RESOURCEGROUPS/RG-DAP-PRD-INFRA-N3-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-DAP-PRD-N3-01","purview.novonordiskchina.com.cn"
"AGW-NOVOCAREOBESITY-PRD-01",APPLICATIONGATEWAYS,Production,"57EB041C-8BF8-487B-A562-F9ACFFC16752","api-obesity.novocare.com.cn","/SUBSCRIPTIONS/57EB041C-8BF8-487B-A562-F9ACFFC16752/RESOURCEGROUPS/RG-NOVOCAREOBESITY-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NOVOCAREOBESITY-PRD-01","api-obesity.novocare.com.cn"
"AGW-NCMA-PRD-01",APPLICATIONGATEWAYS,Production,"A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7","purview.novonordiskchina.com.cn","/SUBSCRIPTIONS/A2A54B14-D1D1-4DC1-9CE5-1E2BC7D6C6E7/RESOURCEGROUPS/RG-NCMA-PRD-INFRA-01/PROVIDERS/MICROSOFT.NETWORK/APPLICATIONGATEWAYS/AGW-NCMA-PRD-01","purview.novonordiskchina.com.cn"
